name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,
R. Walters RB CB,18,61,79,"Arsenal
2022 ~ 2024",274387,"183cm / 6'0""",65kg / 143lbs,Right,63,CB,18,€800K,€4K,€2M,197,52,27,55,34,29,218,59,44,37,39,39,309,63,66,54,60,66,244,34,61,60,58,31,234,62,61,43,41,27,47,202,62,71,69,43,8,13,7,9,6,1447,311,1,65,30,40,52,65,
João Marques CAM LW CF,21,70,81,"Estoril
2021 ~ 2026",274465,"179cm / 5'10""",73kg / 161lbs,Right,72,CAM,11,€3.6M,€4K,€8.3M,308,62,68,48,68,62,342,73,62,64,70,73,351,74,66,76,67,68,302,67,57,63,50,65,272,52,28,66,70,56,71,130,43,45,42,57,8,11,15,12,11,1762,371,1,70,66,67,73,41,
A. Amraoui LB CB,19,68,78,"Amiens SC
Jun 30, 2024 On loan",274550,"184cm / 6'0""",69kg / 152lbs,Left,68,LB,10,€2.5M,€7K,€0,245,59,35,56,60,35,274,65,49,39,57,64,344,73,72,67,65,67,301,54,68,74,60,45,284,73,65,59,45,42,62,200,64,68,68,48,6,11,13,10,8,1696,366,1,72,42,55,65,65,
R. Brajković RM LM ST,17,62,81,"Hajduk Split
2022 ~ 2024",274554,"176cm / 5'9""",68kg / 150lbs,Right,63,ST,19,€1M,€500,€2.8M,280,50,64,54,56,56,275,67,46,44,51,67,366,81,77,80,52,76,306,59,71,62,61,53,239,52,21,54,52,60,55,68,24,23,21,50,12,9,7,9,13,1584,344,1,79,60,52,67,26,
Álex Calvo RW RM,19,66,78,"FC Andorra
2023 ~ 2028",274828,"170cm / 5'7""",66kg / 146lbs,Left,67,CAM,12,€2M,€2K,€3.5M,288,63,60,46,63,56,310,68,64,54,57,67,382,82,75,82,60,83,280,69,55,53,44,59,269,57,33,65,60,54,62,106,38,34,34,52,8,14,6,10,14,1687,354,1,78,61,61,69,36,
O. Højlund CM CDM,18,62,78,"København
2021 ~ 2024",274952,"184cm / 6'0""",71kg / 157lbs,Right,65,CDM,16,€1M,€1K,€1.9M,271,52,48,56,65,50,290,63,53,48,62,64,362,74,72,79,63,74,304,54,70,68,64,48,294,68,61,62,58,45,64,183,60,61,62,46,9,10,6,8,13,1750,374,1,73,50,59,66,60,
Marciano ST RM,19,62,79,"Alcorcón
Jun 30, 2024 On loan",274977,"180cm / 5'11""",74kg / 163lbs,Right,64,ST,17,€1M,€3K,€0,272,45,62,57,59,49,263,61,45,47,51,59,352,80,81,69,58,64,334,64,75,66,70,59,243,54,15,61,49,64,48,45,12,16,17,46,7,6,13,10,10,1555,340,1,81,61,52,61,19,
A. Motaraghebjafarpour RB,20,59,72,"Kalmar
2023 ~ 2025",275004,"183cm / 6'0""",80kg / 176lbs,Right,60,RWB,13,€525K,€500,€984K,234,58,40,51,53,32,256,61,50,37,46,62,329,76,75,60,52,66,285,45,69,68,65,38,233,53,53,50,42,35,52,150,48,52,50,57,7,14,9,14,13,1544,341,1,75,40,50,61,51,
E. Diop RM CAM,18,66,82,"Monaco
2022 ~ 2028",275019,"173cm / 5'8""",70kg / 154lbs,Right,67,CAM,16,€2.2M,€5K,€5.6M,288,64,59,48,65,52,316,70,60,59,60,67,341,71,69,73,61,67,273,66,54,47,49,57,271,50,36,63,64,58,63,123,47,36,40,52,11,6,13,13,9,1664,351,1,70,60,63,68,41,
E. Gökay RM,17,58,77,"Sivasspor
2022 ~ 2025",275071,"181cm / 5'11""",72kg / 159lbs,Left,59,LM,19,€500K,€500,€1.3M,238,54,50,41,54,39,252,64,42,40,49,57,339,76,75,75,48,65,245,53,49,52,47,44,197,33,20,46,49,49,52,67,22,24,21,54,10,9,10,14,11,1392,307,1,75,49,51,62,24,
F. Thorvaldsen LW,17,58,78,"Vålerenga
2023 ~ 2025",275201,"174cm / 5'9""",66kg / 146lbs,Right,58,LW,20,€550K,€500,€1.2M,248,48,52,47,53,48,262,64,52,43,41,62,342,71,77,78,43,73,251,51,52,51,48,49,213,42,20,54,50,47,57,66,25,22,19,56,11,14,11,13,7,1438,311,1,74,51,49,64,25,
F. Leysen CB LB,19,63,74,"Union Saint-Gilloise
2023 ~ 2026",275207,"191cm / 6'3""",77kg / 170lbs,Left,65,CB,11,€975K,€2K,€1.7M,239,37,40,65,63,34,225,42,34,37,58,54,272,60,52,53,54,53,269,31,69,60,69,40,256,73,57,36,39,51,56,187,60,65,62,49,6,15,8,8,12,1497,323,1,56,38,50,49,62,
T. Helguera CDM CM,17,65,79,"Nacional
2023 ~ 2026",275248,"179cm / 5'10""",70kg / 154lbs,Right,66,CDM,14,€1.5M,€500,€4.2M,221,36,44,40,68,33,260,63,38,32,62,65,342,72,71,62,62,75,275,50,58,69,62,36,294,63,62,52,65,52,45,183,60,65,58,59,12,13,9,14,11,1634,359,1,71,44,57,63,60,
S. Nhaga LB,17,65,80,"Paris Saint Germain
2023 ~ 2025",275254,"170cm / 5'7""",65kg / 143lbs,Left,65,LB,15,€1.6M,€650,€4M,272,63,44,54,63,48,278,65,53,46,49,65,358,74,68,68,64,84,277,55,60,64,51,47,275,62,58,52,54,49,61,181,57,62,62,45,8,7,13,11,6,1686,359,1,71,48,58,66,59,
J. Sticker RB,19,58,69,"Viktoria Köln
2023 ~ 2026",275262,"183cm / 6'0""",74kg / 163lbs,Right,58,RB,11,€425K,€700,€701K,208,52,26,47,58,25,224,53,40,34,49,48,309,69,64,55,59,62,223,26,55,60,55,27,229,47,58,44,40,40,47,157,48,57,52,37,5,6,5,7,14,1387,304,1,66,28,50,52,53,
M. Ouro-Tagba ST,18,60,78,"1860 München
2023 ~ 2024",275274,"190cm / 6'3""",72kg / 159lbs,Right,62,ST,18,€625K,€500,€1.3M,242,39,57,55,55,36,239,64,33,30,49,63,366,79,82,69,67,69,299,47,77,59,72,44,253,67,29,57,42,58,49,84,31,27,26,32,6,7,8,5,6,1515,341,1,81,51,46,64,31,
Z. El Ouahdi RB RM,21,70+1,78+1,"Genk
2023 ~ 2027",275353,"172cm / 5'8""",66kg / 146lbs,Right,72,RWB,8,€3.4M,€6K,€5.8M,277,72+1,58,28,67,52,334,75,65+4,63+1,60,71,384,78,69+1,82,72+1,83,287,48+7,52,81,51,55,282,35,70,52+8,67+1,58,70,188,54,69,65,46,8,8,11,14,5,1798,385,1,73,55,67,75,60,
P. Diallo LM,19,62,80,"Metz
2023 ~ 2026",275372,"182cm / 6'0""",67kg / 148lbs,Right,63,CAM,18,€1M,€2K,€2.6M,267,47,61,58,57,44,282,65,53,43,53,68,330,73,67,64,58,68,283,61,60,59,48,55,236,35,18,61,56,66,64,54,15,23,16,52,9,13,8,14,8,1504,319,1,70,59,53,66,22,
Jorge Pascual ST,20,65,79,"Villarreal II
2023 ~ 2026",275415,"187cm / 6'2""",77kg / 170lbs,Left,68,CAM,14,€1.7M,€2K,€3.7M,309,55,68,60,66,60,305,66,58,55,59,67,323,65,65,64,70,59,312,61,65,69,59,58,273,37,27,70,65,74,65,93,32,32,29,45,10,12,6,9,8,1660,349,1,65,65,62,66,34,
B. Castro LM,19,67,80,"Millonarios
2023 ~ 2026",275434,"176cm / 5'9""",77kg / 170lbs,Left,68,LM,13,€2.4M,€1K,€4.9M,281,62,70,49,65,35,263,72,40,27,60,64,340,68,70,71,66,65,280,43,63,63,69,42,232,26,20,70,59,57,54,89,25,34,30,40,10,9,7,6,8,1525,342,1,69,57,59,68,30,
C. Cabellos RW,18,62,69,"Alianza Lima
2022 ~ 2026",275462,"172cm / 5'8""",71kg / 157lbs,Right,64,RM,7,€750K,€500,€1.8M,268,64,53,44,66,41,273,63,43,44,61,62,336,69,65,72,60,70,249,52,42,60,44,51,284,64,53,59,56,52,55,166,49,60,57,52,13,12,6,14,7,1628,348,1,67,52,61,63,53,
Manu Bueno CM CAM CDM,18,65,79,"Sevilla
2022 ~ 2025",275520,"178cm / 5'10""",73kg / 161lbs,Left,67,CAM,14,€1.7M,€2K,€4.6M,261,42,65,52,68,34,283,66,38,45,66,68,314,66,61,59,62,66,287,52,57,60,54,64,300,63,65,64,60,48,52,184,58,64,62,55,15,12,10,7,11,1684,364,1,63,60,58,65,61,
D. Balestrero CM CDM CB,27,66,66,"FeralpiSalò
2021 ~ 2025",275547,"190cm / 6'3""",80kg / 176lbs,Right,68,ST,0,€900K,€1K,€1.4M,330,61,65,71,69,64,312,64,59,57,67,65,324,63,69,60,70,62,373,73,82,70,80,68,319,67,64,63,65,60,62,184,62,62,60,57,14,15,5,11,12,1899,400,1,66,67,65,64,63,
M. Tonetto LM LB,22,64,71,"FeralpiSalò
2022 ~ 2024",275553,"179cm / 5'10""",74kg / 163lbs,Left,65,LM,7,€1.2M,€950,€2.1M,274,63,49,55,60,47,305,63,63,57,59,63,365,81,80,73,60,71,308,54,74,61,66,53,290,58,59,58,56,59,57,181,58,62,61,52,11,5,12,14,10,1775,379,1,80,52,60,64,59,
Ronald RM RW LW,22,70+1,76+1,"Swansea City
2024 ~ 2027",275785,"177cm / 5'10""",69kg / 152lbs,Right,71,RM,6,€2.6M,€14K,€5.5M,296,63-1,66-1,52,63+9,52,281,71,46,43,48+7,73-1,388,85,88,71,72-2,72,299,73,62,73,46,45,250,44,23,65,60+4,58,66,101,23,44,34,43,6,14,7,8,8,1658,364,1,87,62,58,71,33,
J. van de Kamp RM RWB CM,19,64,77,"Almere City
2022 ~ 2025",275861,"177cm / 5'10""",72kg / 159lbs,Right,65,CAM,13,€1.4M,€1K,€2.9M,248,49,42,47,68,42,287,67,44,45,66,65,339,75,74,73,62,55,272,64,49,68,40,51,294,68,59,58,61,48,63,151,43,60,48,52,9,12,11,8,12,1643,354,1,74,49,60,66,52,
Víctor Barberá ST RW,18,65-1,77-3,"Club Brugge
2023 ~ 2027",275881,"180cm / 5'11""",75kg / 165lbs,Right,68,CAM,12,€1.7M,€2K,€2.9M,299,53,62-2,59-3,65,60-4,282,65,56,41,52-1,68-1,387,86+2,79,83+3,64,75,311,62-2,71-3,60,54-1,64-1,226,29,12,66-2,59,60,59,52,15,17,20,39,5,10,11,6,7,1596,341,1,82,62,58,68,20,
P. Ratkov ST,19,65,76,"Salzburg
2023 ~ 2028",275978,"193cm / 6'4""",76kg / 168lbs,Right,67,ST,11,€1.6M,€3K,€2.7M,289,42,67,69,59,52,256,63,40,42,42,69,306,61,73,68,58,46,324,64,71,60,68,61,262,66,15,61,58,62,52,89,27,30,32,62,14,7,15,14,12,1588,343,1,68,64,51,64,30,
D. Marczuk RM,19,62,76,"Jagiellonia Białystok
2023 ~ 2026",276066,"177cm / 5'10""",74kg / 163lbs,Right,63,RM,14,€950K,€1K,€1.9M,265,54,57,45,61,48,269,61,53,45,50,60,338,70,71,68,59,70,281,49,53,75,53,51,259,50,54,59,54,42,53,155,45,57,53,47,11,5,6,14,11,1614,349,1,71,53,55,61,51,
V. Reyes GK,19,59,76,"Forest Green Rovers
Jun 30, 2024 On loan",276117,"194cm / 6'4""",80kg / 176lbs,Right,59,GK,17,€525K,€2K,€0,84,13,10,13,40,8,121,12,23,13,46,27,183,42,29,26,50,36,205,47,60,24,68,6,94,23,8,8,43,12,45,35,10,12,13,297,58,61,62,57,59,1019,334,1,58,61,62,59,37,
D. Beleme ST RM LM,22,62,71,"VfB Lübeck
Jun 30, 2024 On loan",276183,"187cm / 6'2""",83kg / 183lbs,Right,64,ST,9,€900K,€5K,€0,284,52,66,59,51,56,220,62,35,29,29,65,323,72,77,62,53,59,302,57,71,57,68,49,201,28,16,62,44,51,42,58,17,22,19,51,10,13,7,8,13,1439,320,1,75,59,45,61,23,
J. Hallard LB,19,53,66,"AFC Wimbledon
2022 ~ 2024",276242,"178cm / 5'10""",71kg / 157lbs,Left,53,LB,13,€210K,€1K,€499K,190,48,22,46,49,25,190,52,26,28,44,40,304,66,69,57,47,65,221,20,54,62,59,26,203,48,49,42,32,32,40,148,48,51,49,43,7,12,11,8,5,1299,289,1,68,24,42,49,49,
I. Ansah ST,18,63,78,"Paderborn
2023 ~ 2028",276372,"194cm / 6'4""",84kg / 185lbs,Right,65,ST,15,€1.1M,€2K,€2.4M,280,42,65,64,57,52,228,63,28,31,45,61,297,68,65,54,63,47,326,63,77,57,77,52,249,53,16,59,61,60,54,63,24,21,18,47,6,6,13,13,9,1490,329,1,66,61,50,60,25,
D. Veroli CB LB,20,67,81,"Catanzaro
Jun 30, 2024 On loan",276443,"188cm / 6'2""",77kg / 170lbs,Left,69,CB,14,€2.3M,€6K,€0,251,55,33,70,60,33,255,60,44,37,52,62,319,69,71,56,63,60,327,65,76,66,71,49,259,66,63,41,44,45,62,201,68,67,66,43,5,7,9,13,9,1655,363,1,70,44,53,60,67,
A. Marcandalli CB,21,64,73,"Reggiana
2023 ~ 2026",276477,"190cm / 6'3""",81kg / 179lbs,Right,66,CB,9,€1.2M,€700,€2.1M,196,33,33,63,48,19,165,31,25,26,43,40,294,62,70,49,62,51,267,31,75,59,77,25,223,66,63,24,35,35,44,193,63,66,64,40,6,9,12,7,6,1378,308,1,66,30,39,39,64,
S. Altunashvili CM CDM CAM,26,65,67,"Wolfsberger AC
2023 ~ 2025",276491,"169cm / 5'7""",63kg / 139lbs,Right,67,CAM,2,€875K,€4K,€1.3M,272,61,56,41,68,46,312,64,56,60,66,66,356,73,61,76,60,86,287,63,49,68,46,61,316,66,64,58,70,58,60,182,62,62,58,56,11,14,11,14,6,1781,373,1,66,58,66,67,60,
A. Petkov CB,23,66,75,"Śląsk Wrocław
2023 ~ 2026",276492,"193cm / 6'4""",85kg / 187lbs,Right,68,CB,9,€1.8M,€2K,€2.8M,210,29,27,69,60,25,186,39,32,26,42,47,279,58,62,48,55,56,314,52,75,64,78,45,239,67,66,34,32,40,47,194,60,66,68,54,12,12,10,7,13,1476,320,1,60,37,42,44,65,
Hugo Souza GK,24,68,74,"Chaves
2023 ~ 2024",276570,"199cm / 6'6""",95kg / 209lbs,Right,68,GK,6,€1.5M,€2K,€3.5M,62,11,8,13,23,7,81,10,11,10,28,22,183,33,17,53,58,22,214,50,62,22,71,9,97,28,8,6,39,16,30,29,5,11,13,339,70,64,67,65,73,1005,366,1,70,64,67,73,27,
Lee Hyun Ju CAM CF,20,66,76,"Wehen Wiesbaden
2022 ~ 2025",276600,"171cm / 5'7""",68kg / 150lbs,Right,68,CAM,10,€1.9M,€4K,€3.3M,277,53,64,39,69,52,290,71,48,41,60,70,384,81,75,85,61,82,250,49,53,60,48,40,243,38,33,59,64,49,61,92,34,27,31,55,8,15,14,11,7,1591,347,1,78,55,61,72,32,
K. Peersman GK,19,61,79,"PSV
2020 ~ 2026",270351,"194cm / 6'4""",71kg / 157lbs,Right,61,GK,18,€750K,€900,€1.5M,70,10,8,14,29,9,61,9,13,12,16,11,135,15,31,23,44,22,152,46,36,23,42,5,83,17,11,7,38,10,25,32,8,13,11,310,61,64,61,61,63,843,331,1,61,64,61,63,21,
T. Himeur GK,22,63,72,"Toulouse
2021 ~ 2024",270365,"187cm / 6'2""",72kg / 159lbs,Right,63,GK,9,€925K,€3K,€2M,60,10,6,10,25,9,68,9,10,11,20,18,211,55,30,38,50,38,178,46,57,17,52,6,82,17,11,8,32,14,22,31,6,14,11,317,65,63,61,63,65,947,362,1,65,63,61,65,45,
S. Earley LB LWB,20,63,68,"Wycombe Wanderers
Jun 30, 2024 On loan",270376,"175cm / 5'9""",70kg / 154lbs,Left,63,LB,5,€675K,€2K,€0,240,62,32,51,62,33,278,63,50,40,61,64,356,79,76,72,58,71,253,40,63,66,54,30,234,48,55,51,45,35,57,170,58,58,54,42,8,7,11,6,10,1573,344,1,77,34,57,64,56,
M. Wörl CDM CM,19,65,78,"DSC Arminia Bielefeld
Jun 30, 2024 On loan",270403,"178cm / 5'10""",69kg / 152lbs,Right,66,CDM,13,€1.6M,€3K,€0,254,58,45,50,67,34,263,59,41,41,59,63,310,66,63,64,62,55,288,50,59,76,59,44,285,59,63,53,60,50,57,193,65,66,62,62,13,11,13,11,14,1655,357,1,64,46,60,61,63,
F. Di Michele Sanchez LWB,20,62,72,"Saarbrücken
2023 ~ 2024",270461,"180cm / 5'11""",81kg / 179lbs,Left,62,LWB,10,€825K,€1K,€1.4M,241,60,30,54,58,39,255,61,47,38,53,56,341,74,76,64,61,66,273,38,69,62,68,36,256,64,58,44,45,45,55,172,57,58,57,54,8,13,13,13,7,1592,347,1,75,35,54,60,57,
Aceves GK,19,69+1,82+1,"Eldense
Jun 30, 2024 On loan",270529,"190cm / 6'3""",85kg / 187lbs,Right,69,GK,13,€2.9M,€2K,€0,70,15,10,10,24,11,80,9,16,15,25,15,196,20,31,38,57,50,220,52,58+1,27,71,12,105,27,15,8,41,14,37,47,20,14,13,348,70+1,68+1,69,69+1,72+1,1066,372,1,70,68,69,72,24,
T. Walczak ST,17,54,69,"Raków Częstochowa
2023 ~ 2026",270594,"189cm / 6'2""",88kg / 194lbs,Right,56,ST,15,€250K,€500,€506K,223,31,55,56,45,36,201,51,40,30,31,49,290,62,65,58,54,51,292,51,64,60,64,53,203,29,10,55,51,58,48,46,19,15,12,53,6,9,11,14,13,1308,283,1,64,53,40,51,19,
A. Makoumbou CDM CM,24,73,78,"Cagliari
2022 ~ 2026",270597,"187cm / 6'2""",80kg / 176lbs,Right,74,CDM,5,€4.2M,€16K,€7.9M,293,57,57,60,74,45,333,77,64,48,68,76,376,76,74,82,70,74,372,71,79,90,76,56,320,73,72,56,67,52,75,203,65,71,67,50,8,15,7,6,14,1947,425,1,75,59,67,77,68,
M. Doumbia CM CAM CDM,19,63,79,"Antwerp
2023 ~ 2027",270613,"186cm / 6'1""",66kg / 146lbs,Right,69,CAM,16,€1.2M,€3K,€2.6M,277,54,60,43,68,52,310,74,61,43,62,70,375,79,73,85,53,85,323,71,61,64,60,67,251,45,52,54,65,35,61,137,38,50,49,32,6,7,6,6,7,1705,377,1,76,62,62,73,46,
23 J. Bahamboula RW,21,62,77,"Vitória SC
2020 ~ 2023",270678,"178cm / 5'10""",66kg / 146lbs,Right,63,RM,15,€975K,€2K,€2.7M,265,50,58,56,52,49,276,67,50,44,51,64,374,81,82,75,62,74,314,65,71,64,56,58,237,44,31,48,52,62,51,93,31,34,28,47,12,6,7,11,11,1606,348,1,82,59,51,66,34,
A. Pajaziti CDM LM CM,20,63,75,"Fulham
2019 ~ 2025",270680,"178cm / 5'10""",71kg / 157lbs,Left,64,CDM,12,€1.1M,€9K,€2.3M,268,50,54,57,63,44,281,58,51,48,61,63,318,66,62,64,56,70,303,60,65,67,61,50,305,74,58,56,63,54,58,181,55,62,64,47,8,8,12,12,7,1703,362,1,64,54,59,61,59,
P. Müller CM,20,57,68,"Wolfsberger AC
2022 ~ 2025",270750,"176cm / 5'9""",70kg / 154lbs,Right,60,CAM,11,€350K,€2K,€578K,261,52,51,48,64,46,285,56,53,55,57,64,312,66,57,69,47,73,267,60,48,54,49,56,281,71,54,50,57,49,47,163,53,56,54,42,7,9,7,12,7,1611,341,1,61,53,58,60,54,
A. Guðjohnsen ST,21,65+1,76+1,"Lyngby
Jun 30, 2024 On loan",270787,"188cm / 6'2""",78kg / 172lbs,Right,67,ST,11,€1.6M,€2K,€0,268,35,67+1,59,57,50,250,65,38,39,40,68+2,345,74,78+2,70+1,61,62+2,329,63+4,76+1,65+4,74+3,51,232,32,19,65+2,54,62,58,69,22,25,22,50,9,8,11,10,12,1543,341,1,76,62,48,66,26,
D. Djiama LB LM,19,58,74,"APOEL
2022 ~ 2024",270843,"182cm / 6'0""",73kg / 161lbs,Left,58,LB,16,€500K,€500,€1.4M,173,52,28,43,27,23,202,56,42,29,21,54,364,89,86,72,47,70,254,37,62,71,56,28,207,52,51,44,30,30,45,157,45,57,55,43,9,10,7,7,10,1400,317,1,87,30,33,57,51,
A. Mazilu RM LM,17,67,84,"Vitesse
Jun 30, 2024 On loan",270867,"180cm / 5'11""",72kg / 159lbs,Left,68,CAM,17,€2.5M,€3K,€0,288,56,67,47,64,54,306,69,69,51,48,69,361,79,82,77,58,65,316,68,60,68,53,67,257,44,34,64,60,55,64,96,37,34,25,53,8,13,11,7,14,1677,365,1,81,66,59,69,35,
K. Dong RW LW,18,63,75,"Troyes
2022 ~ 2025",270886,"178cm / 5'10""",68kg / 150lbs,Right,64,RW,12,€1.1M,€750,€2.1M,277,57,63,51,58,48,268,66,49,41,47,65,322,70,63,59,64,66,276,62,53,57,45,59,238,31,23,63,61,60,55,59,19,17,23,48,11,9,13,5,10,1488,315,1,66,61,55,64,23,
N. Pierozzi RB RM LM,21,67,78,"Salernitana
Jun 30, 2024 On loan",270926,"184cm / 6'0""",75kg / 165lbs,Right,70,CAM,11,€2.2M,€10K,€0,296,68,65,41,67,55,319,72,59,63,53,72,363,76,76,79,55,77,325,65,62,71,67,60,303,55,60,67,67,54,60,191,67,61,63,62,11,15,12,10,14,1859,402,1,76,63,65,72,61,
L. Harris CAM CM,18,63,83,"Exeter City
Jun 30, 2024 On loan",270937,"177cm / 5'10""",63kg / 139lbs,Right,65,CAM,20,€1.3M,€5K,€0,281,54,65,41,66,55,298,66,58,50,59,65,344,68,61,74,62,79,267,58,49,54,53,53,259,55,39,61,57,47,68,112,42,34,36,37,6,9,6,8,8,1598,342,1,64,60,60,67,38,
F. Torsiello ST,18,60,76,"Darmstadt 98
2022 ~ 2026",270940,"178cm / 5'10""",73kg / 161lbs,Right,62,ST,16,€625K,€2K,€1.5M,254,31,64,55,53,51,236,65,36,35,38,62,318,61,67,67,56,67,277,64,54,51,49,59,215,43,18,62,44,48,49,59,25,21,13,51,15,8,11,10,7,1410,304,1,64,61,43,63,24,
T. Schlieck GK,17,57,77,"RB Leipzig
2022 ~ 2027",270965,"193cm / 6'4""",82kg / 181lbs,Right,57,GK,20,€400K,€500,€1.1M,63,13,5,14,25,6,71,13,13,11,22,12,168,26,33,37,45,27,178,41,53,19,60,5,95,23,10,6,37,19,36,33,7,13,13,286,59,57,55,53,62,894,315,1,59,57,55,62,29,
N. Sattlberger CDM,19,67,80,"Rapid Wien
2022 ~ 2025",270995,"191cm / 6'3""",73kg / 161lbs,Right,68,CDM,13,€2.3M,€4K,€4.8M,241,46,31,62,69,33,269,57,36,40,67,69,283,58,51,58,59,57,292,58,68,59,69,38,290,66,66,43,67,48,65,196,65,68,63,44,13,9,7,5,10,1615,347,1,54,39,61,61,66,
D. Kameri CAM CM RW,19,67,80-1,"Grasshopper
Jun 30, 2024 On loan",270999,"184cm / 6'0""",76kg / 168lbs,Right,69,CAM,13,€2.4M,€4K,€0,300,58,61,52,65,64,336,72,69,63,61,71,352,76,73,75,58,70,344,74,69,64,65,72,288,55,42,58,65,68,53,110,28,41,41,55,15,14,5,11,10,1785,374,1,74,66,63,70,38,
N. Prelec ST CF,22,66,73,"WSG Tirol
Jun 30, 2024 On loan",271005,"187cm / 6'2""",80kg / 176lbs,Left,68,ST,7,€1.8M,€7K,€0,285,40,66,59,65,55,265,64,42,43,47,69,309,62,71,60,58,58,343,70,75,58,82,58,273,50,28,68,65,62,57,89,38,26,25,45,8,7,14,8,8,1609,353,1,67,65,55,64,33,
J. N'Duquidi CDM,18,63,81,"Metz
2021 ~ 2026",271014,"187cm / 6'2""",74kg / 163lbs,Right,64,CDM,18,€1.2M,€1K,€3.2M,248,54,37,60,63,34,298,66,59,50,58,65,322,67,69,67,59,60,307,62,68,63,63,51,296,64,58,55,63,56,60,186,59,64,63,51,9,10,10,11,11,1708,364,1,68,47,60,65,61,
Adu Ares LM RM,21,70,80,"Athletic Club
2022 ~ 2027",271037,"183cm / 6'0""",73kg / 161lbs,Right,71,CAM,10,€3.6M,€10K,€8.3M,303,70,64,44,69,56,330,73,66,56,63,72,394,88,83,83,62,78,318,66,68,55,65,64,268,40,33,60,65,70,66,58,18,21,19,52,13,9,6,13,11,1723,372,1,85,64,67,73,25,
M. Usor RM LW RW,21,70,77,"LASK Linz
2024 ~ 2028",271092,"181cm / 5'11""",64kg / 141lbs,Left,71,CAM,7,€3.2M,€10K,€5.4M,308,62,63,54,66,63,330,74,61,64,61,70,387,84,85,83,61,74,337,70,69,72,58,68,275,58,28,66,66,57,71,116,34,43,39,54,14,7,9,11,13,1807,387,1,85,65,64,73,38,
Abel Bretones LB,22,69-1,76-3,"Real Oviedo
2022 ~ 2026",271145,"185cm / 6'1""",80kg / 176lbs,Left,70,LWB,7,€2.7M,€4K,€4.9M,314,71-3,59-1,65,65,54,323,67,66+1,61+1,63,66,346,73,77-2,72,66-1,58-2,371,71+1,80-1,77-2,78-2,65,335,79-3,64,66,62,64,59-1,191,61,64-1,66-1,45,7,11,11,10,6,1925,410,1,75,63,65,66,63,
V. Akinwale ST,18,56,74,"Crystal Palace
2021 ~ 2024",271192,"185cm / 6'1""",60kg / 132lbs,Right,58,ST,18,€375K,€3K,€947K,251,39,61,55,48,48,239,58,49,38,34,60,323,69,62,59,55,78,249,61,47,50,34,57,232,35,17,50,53,77,55,50,19,14,17,50,11,10,8,8,13,1394,289,1,65,60,45,59,21,
H. Griffiths CDM CM,19,58,68,"Wolverhampton Wanderers
2021 ~ 2026",271216,"191cm / 6'3""",78kg / 172lbs,Right,60,CB,10,€425K,€4K,€893K,263,46,49,61,58,49,264,54,52,48,57,53,267,51,56,54,58,48,294,58,64,56,66,50,277,67,55,47,54,54,52,164,52,57,55,46,8,12,6,10,10,1575,332,1,54,51,54,54,55,
A. Muja RM LM,24,71,73,"Samsunspor
2024 ~ 2027",271219,"179cm / 5'10""",69kg / 152lbs,Right,72,RM,2,€2.4M,€9K,€5M,307,65,63,53,68,58,327,72,68,61,57,69,405,87,91,82,62,83,354,73,72,78,60,71,312,68,46,69,62,67,68,134,38,51,45,57,9,11,13,9,15,1896,405,1,89,67,64,72,46,
M. Mbaye CB,25,70,76,"Cádiz
2017 ~ 2024",271222,"193cm / 6'4""",81kg / 179lbs,Right,72,CB,6,€2.2M,€14K,€5.1M,258,53,23,72,71,39,235,32,50,30,59,64,263,56,59,41,58,49,277,50,75,61,72,19,234,69,69,23,41,32,58,215,70,74,71,48,15,12,11,5,5,1530,330,1,58,29,57,46,71,
S. Alvero CDM CM,21,69,79,"Werder Bremen
Jun 30, 2024 On loan",271247,"202cm / 6'8""",93kg / 205lbs,Right,70,CDM,10,€3M,€10K,€0,282,52,49,59,70,52,298,70,53,40,66,69,276,54,63,63,66,30,347,58,75,67,93,54,296,66,63,54,69,44,70,195,62,69,64,47,12,5,14,5,11,1741,385,1,59,52,63,67,64,
Júlio Dabó LB LWB,20,60,70,"Boavista
2023 ~ 2024",271287,"186cm / 6'1""",77kg / 170lbs,Left,60,LB,10,€525K,€2K,€1.2M,207,56,27,46,48,30,222,62,38,36,41,45,337,74,76,55,57,75,217,36,53,48,48,32,240,54,57,49,39,41,50,178,51,62,65,36,8,7,5,7,9,1437,314,1,75,32,46,56,56,
